Suburb,Rooms,Price,Postcode
Abbotsford,3,1490000,3067
Abbotsford,3,1220000,3067
Abbotsford,3,1420000,3067
Aberfeldie,3,1515000,3040
Airport West,2,670000,3042
Airport West,2,530000,3042
Airport West,2,540000,3042
Airport West,3,715000,3042
Albanvale,6,,3021
Albert Park,3,1925000,3206
Albion,3,515000,3020
Albion,4,717000,3020
Alphington,2,1675000,3078
Alphington,4,2008000,3078
Altona,2,860000,3018
Altona Meadows,4,,3028
Altona North,3,720000,3025
Armadale,2,836000,3143
Armadale,2,2110000,3143
Armadale,3,1386000,3143
Armadale,2,580000,3143
Armadale,1,355000,3143
Ascot Vale,3,1123100,3032
Ashburton,3,1270000,3147
Ashburton,4,,3147
Ashburton,3,1610000,3147
Ashwood,4,1435000,3147
Aspendale,4,1431000,3195
Aspendale Gardens,4,996000,3195
Attwood,4,,3049
Avondale Heights,4,825000,3034
Balwyn,2,660800,3103
Balwyn,2,700000,3103
Balwyn,5,2700000,3103
Balwyn,3,2035000,3103
Balwyn,3,955000,3103
Balwyn,4,1810000,3103
Balwyn North,4,1850000,3104
Balwyn North,3,,3104
Balwyn North,4,2600000,3104
Balwyn North,3,1220000,3104
Balwyn North,4,2470000,3104
Balwyn North,4,,3104
Balwyn North,2,800000,3104
Bayswater North,4,880000,3153
Beaumaris,4,1285000,3193
Beaumaris,2,835000,3193
Beaumaris,4,1445000,3193
Beaumaris,2,,3193
Beaumaris,4,1435000,3193
Bellfield,3,675000,3081
Bentleigh,4,1300000,3204
Bentleigh,4,1500000,3204
Bentleigh,3,1340000,3204
Bentleigh,2,,3204
Bentleigh East,3,1400000,3165
Bentleigh East,2,,3165
Bentleigh East,2,775000,3165
Bentleigh East,3,920000,3165
Bentleigh East,2,1220000,3165
Bentleigh East,2,1130000,3165
Bentleigh East,4,1460000,3165
Black Rock,3,,3193
Black Rock,4,3000000,3193
Blackburn,4,1200000,3130
Blackburn,4,1410000,3130
Blackburn,3,1110000,3130
Blackburn North,4,960000,3130
Blackburn North,5,1090000,3130
Blackburn South,3,980000,3130
Blackburn South,3,,3130
Blackburn South,4,1925000,3130
Blackburn South,3,710000,3130
Bonbeach,4,985000,3196
Boronia,4,,3155
Box Hill,2,420000,3128
Braybrook,3,500500,3019
Braybrook,2,490000,3019
Braybrook,2,500000,3019
Brighton,3,,3186
Brighton,4,,3186
Brighton,3,,3186
Brighton,4,2250000,3186
Brighton,4,,3186
Brighton East,2,,3187
Brighton East,4,,3187
Brighton East,4,,3187
Brighton East,3,1958000,3187
Brighton East,4,2137000,3187
Brighton East,4,,3187
Brighton East,4,2975000,3187
Broadmeadows,4,,3047
Broadmeadows,3,457000,3047
Brunswick,3,,3056
Brunswick,2,740000,3056
Brunswick,3,,3056
Brunswick,3,900000,3056
Brunswick,4,1250000,3056
Brunswick,4,,3056
Brunswick,2,1225000,3056
Brunswick,3,1120000,3056
Brunswick,2,560000,3056
Brunswick,3,1685000,3056
Brunswick,2,625000,3056
Brunswick East,3,1470000,3057
Brunswick East,2,860000,3057
Brunswick West,3,900000,3055
Brunswick West,2,398000,3055
Brunswick West,2,576000,3055
Brunswick West,4,1400000,3055
Brunswick West,5,,3055
Brunswick West,3,850000,3055
Bulleen,4,1150000,3105
Bundoora,2,525000,3083
Bundoora,4,740000,3083
Bundoora,2,340000,3083
Burwood,5,1265000,3125
Burwood,3,1000000,3125
Burwood East,4,1460000,3151
Burwood East,4,1200000,3151
Burwood East,4,935000,3151
Burwood East,3,780000,3151
Camberwell,2,868000,3124
Camberwell,3,1375000,3124
Camberwell,2,1235000,3124
Camberwell,3,1510000,3124
Camberwell,3,1520000,3124
Camberwell,2,835000,3124
Camberwell,2,495000,3124
Camberwell,6,,3124
Camberwell,4,2100500,3124
Canterbury,5,3300000,3126
Carlton,2,,3053
Carlton North,2,1470000,3054
Carlton North,3,2410000,3054
Carnegie,4,1775000,3163
Carnegie,3,,3163
Carnegie,1,295000,3163
Caroline Springs,4,629000,3023
Caroline Springs,2,406000,3023
Carrum,3,825000,3197
Carrum Downs,4,581500,3201
Caulfield East,3,1400000,3145
Caulfield North,2,,3161
Caulfield South,2,,3162
Caulfield South,3,1538000,3162
Chadstone,3,1354000,3148
Chelsea,3,886000,3196
Cheltenham,4,,3192
Chintin,5,,3756
Clayton,7,4000000,3168
Clayton,4,1010000,3168
Clayton,2,697500,3168
Clayton,4,,3168
Clayton South,3,800000,3169
Clifton Hill,4,,3068
Clifton Hill,3,1805000,3068
Clifton Hill,3,1400000,3068
Coburg,3,1032500,3058
Coburg,3,1070000,3058
Coburg,3,1005000,3058
Coburg,2,905000,3058
Coburg,2,412000,3058
Coburg,1,333000,3058
Coburg,2,797500,3058
Coburg,2,430000,3058
Coburg North,2,490000,3058
Coburg North,4,960000,3058
Collingwood,2,,3066
Collingwood,2,960000,3066
Craigieburn,3,356500,3064
Craigieburn,5,,3064
Craigieburn,4,580500,3064
Craigieburn,3,573000,3064
Craigieburn,4,475000,3064
Craigieburn,3,385000,3064
Cranbourne,3,,3977
Cranbourne North,3,475000,3977
Croydon,3,744000,3136
Croydon,4,,3136
Croydon,3,,3136
Croydon,3,746000,3136
Croydon,3,965000,3136
Dallas,3,455500,3047
Dandenong,3,800000,3175
Dandenong,3,610000,3175
Dandenong,2,,3175
Dandenong North,2,307000,3175
Darley,3,,3340
Deepdene,2,1610000,3103
Deer Park,5,589000,3023
Deer Park,4,603000,3023
Delahey,3,335000,3037
Diamond Creek,4,730000,3089
Dingley Village,4,920000,3172
Dingley Village,3,770000,3172
Dingley Village,4,1140000,3172
Dingley Village,4,910000,3172
Dingley Village,4,883850,3172
Doncaster,4,1556000,3108
Doncaster,4,,3108
Doncaster East,4,1249000,3109
Doncaster East,3,950000,3109
Doncaster East,3,820000,3109
Doncaster East,4,1730000,3109
Doncaster East,3,,3109
Donvale,3,1260000,3111
Donvale,4,1300000,3111
Eaglemont,3,1820000,3084
East Melbourne,1,675000,3002
East Melbourne,4,4150000,3002
Edithvale,3,1130000,3196
Elsternwick,3,1683000,3185
Elsternwick,4,,3185
Elsternwick,3,2250000,3185
Eltham,3,840500,3095
Eltham,3,900000,3095
Eltham,3,837000,3095
Eltham North,4,1000000,3095
Elwood,1,,3184
Elwood,2,800000,3184
Elwood,2,805000,3184
Elwood,3,,3184
Elwood,2,,3184
Elwood,4,2985000,3184
Elwood,5,,3184
Endeavour Hills,4,690000,3802
Epping,3,497000,3076
Epping,3,507500,3076
Epping,5,1010000,3076
Essendon,4,1930000,3040
Essendon,4,1399000,3040
Essendon,3,1512000,3040
Essendon,4,2000000,3040
Essendon,3,552000,3040
Essendon,2,860000,3040
Essendon North,4,946000,3041
Essendon West,3,1430000,3040
Fairfield,4,1270000,3078
Fawkner,3,635000,3060
Fawkner,3,630000,3060
Fawkner,3,705000,3060
Fawkner,3,625000,3060
Ferntree Gully,3,665508,3156
Ferntree Gully,3,691000,3156
Ferntree Gully,3,,3156
Ferntree Gully,4,815000,3156
Ferntree Gully,3,730000,3156
Fitzroy,4,,3065
Fitzroy,1,720000,3065
Fitzroy North,3,1890000,3068
Fitzroy North,3,1454000,3068
Fitzroy North,4,2061000,3068
Fitzroy North,3,1310000,3068
Fitzroy North,2,995000,3068
Fitzroy North,4,3259000,3068
Fitzroy North,5,,3068
Fitzroy North,3,,3068
Fitzroy North,2,1325000,3068
Footscray,1,331000,3011
Footscray,3,1000000,3011
Footscray,2,771000,3011
Forest Hill,3,1260000,3131
Frankston,3,508000,3199
Frankston,2,501500,3199
Frankston North,3,450000,3200
Frankston South,4,351000,3199
Gladstone Park,4,650000,3043
Glen Iris,3,,3146
Glen Iris,3,3730000,3146
